Name,Sex,index,Count
Abida,F,96556,44
Abidah,F,16420,5
Abidan,M,83062,16
Abie,F,135779,67
Abie,M,950282,652
Abiegail,F,48785,15
Abiel,F,78860,28
Abiel,M,898084,1179
Abiela,F,67907,20
Abiella,F,49982,16
Abiezer,M,57620,12
Abigael,F,140345,1710
Abigael,M,30194,5
Abigaelle,F,130874,172
Abigahil,F,100694,42
Abigai,F,27989,12
Abigail,F,93938,366323
Abigail,M,855995,640
Abigaile,F,191252,591
Abigailgrace,F,44835,18
Abigaille,F,78563,27
Abigailmarie,F,31537,11
Abigailrose,F,55835,25
Abigal,F,254275,768
Abigale,F,158015,5601
Abigayil,F,57889,21
Abigayl,F,239158,345
Abigayle,F,133486,5934
Abigayle,M,30195,5
Abigeal,F,62031,22
Abigel,F,98273,31
Abigial,F,284646,172
Abiha,F,129183,129
Abihail,F,50364,29
Abijah,F,127606,57
Abijah,M,688401,272
Abilene,F,152152,1132
Abilgail,F,45938,28
Abilio,M,24558,5
Abilyn,F,16547,5
Abilynn,F,14552,6
Abimael,M,897508,1171
Abimbola,F,128533,80
Abimbola,M,32062,5
Abimelec,M,291756,67
Abin,M,58240,10
Abinadab,M,29346,5
Abinadi,M,121563,22
Abinav,M,209448,44
Abinaya,F,148881,58
Abiodun,M,51504,18
Abiola,F,267187,163
Abiola,M,202580,44
Abiona,F,43540,19
Abir,F,208372,97
Abir,M,567718,359
Abira,F,56073,27
Abiram,M,62244,12
Abirami,F,88048,36
Abisag,F,43318,16
Abisai,F,39544,75
Abisai,M,675168,895
Abisaid,M,31016,5
Abish,F,54867,24
Abisha,F,116676,53
Abishai,F,35479,26
Abishai,M,496045,206
Abishek,M,190763,50
Abisola,F,230980,105
Abiud,M,28012,6
Abiy,M,26129,9
Abiya,F,15608,5
Abiyah,F,28968,12
Abiyah,M,31308,5
Abla,F,29369,11
Ablakat,F,23983,15
Able,M,1170930,944
Abnel,M,31180,6
Abner,M,1302898,7846
Abney,F,32038,10
Abney,M,6529,5
Abniel,M,30136,5
Abony,F,78586,43
Abou,M,324816,69
Aboubacar,M,639708,345
Aboubakar,M,177286,36
Abra,F,375692,929
Abraam,M,196629,47
Abraar,M,58686,12
Abrah,F,85954,41
Abraham,F,335411,208
Abraham,M,1194350,91031
Abrahan,M,880507,969
Abraheem,M,111852,22
Abrahem,M,204413,41
Abrahim,M,816309,601
Abrahm,M,917151,713
Abram,M,1272478,17090
Abran,M,1339671,2011
Abranda,F,10409,5
Abrar,F,228563,413
Abrar,M,642429,393
Abraxas,F,8323,5
Abraxas,M,89250,17
Abraya,F,16215,5
Abrea,F,222278,184
Abreana,F,95216,44
Abreanna,F,235244,261
Abree,F,226316,598
Abreia,F,11779,6
Abrem,M,31018,5
Abren,M,62491,11
Abreona,F,11790,6
Abreonna,F,48780,15
Abrey,F,217415,148
Abreya,F,13731,5
Abrham,M,457554,131
Abri,F,116706,211
Abria,F,173168,845
Abriah,F,90733,35
Abrial,F,176810,121
Abriam,M,24560,5
Abrian,F,9752,5
Abrian,M,790026,319
Abriana,F,80216,2428
Abrianna,F,82998,4041
Abriannah,F,25819,15
Abrianne,F,46233,15
Abrie,F,156034,284
Abriel,F,194524,632
Abriel,M,670055,418
Abriela,F,117021,51
Abriele,F,13732,5
Abriella,F,69399,1445
Abrielle,F,102408,3861
Abrien,M,120020,27
Abrienne,F,76859,27
Abrigail,F,65806,26
